pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Activation of the AP-1 family of transcription factors,Reactome,0,,10 (10),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Regulation of beta-cell development,Reactome,0,,4 (4),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
PECAM1 interactions,Reactome,0,,12 (12),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Signalling to STAT3,Reactome,0,,3 (3),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
PTK6 promotes HIF1A stabilization,Reactome,0,,6 (6),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
NRIF signals cell death from the nucleus,Reactome,0,,16 (16),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Signal regulatory protein family interactions,Reactome,0,,13 (13),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Signaling by Leptin,Reactome,0,,11 (11),1,1,1,HMDB00538,2 (3),0.0147,0.119,0.0766,0.251
Stabilization of p53,Reactome,0,,12 (12),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Regulation of TP53 Activity through Association with Co-factors,Reactome,0,,14 (14),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
AKT-mediated inactivation of FOXO1A,Reactome,0,,4 (4),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
ATP sensitive Potassium channels,Reactome,0,,4 (4),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Hedgehog _on_ state,Wikipathways,0,,5 (5),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Activated NTRK2 signals through FRS2 and FRS3,Reactome,0,,6 (6),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Interleukin-6 signaling,Reactome,0,,11 (11),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Signaling by FGFR2 fusions,Reactome,0,,1 (1),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Signalling to ERK5,Reactome,0,,2 (2),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
RET signaling,Reactome,0,,35 (35),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
STAT6-mediated induction of chemokines,Reactome,0,,3 (3),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Interleukin-10 signaling,Reactome,0,,6 (6),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
PLCG1 events in ERBB2 signaling,Reactome,0,,4 (4),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
RSK activation,Reactome,0,,6 (6),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
CRMPs in Sema3A signaling,Reactome,0,,16 (16),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Signaling by Hippo,Reactome,0,,20 (20),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Signaling by FGFR1 amplification mutants,Reactome,0,,1 (1),1,1,1,HMDB00538,2 (11),0.0147,0.119,0.0766,0.251
Signaling by plasma membrane FGFR1 fusions,Reactome,0,,3 (3),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Reelin signalling pathway,Reactome,0,,5 (5),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
c-src mediated regulation of Cx43 function and closure of gap junctions,Reactome,0,,3 (3),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
role of parkin in ubiquitin-proteasomal pathway,BioCarta,0,,8 (8),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Interleukin-7 signaling,Wikipathways,0,,4 (4),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Degradation of beta-catenin by the destruction complex,Wikipathways,0,,4 (4),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
GLI3 is processed to GLI3R by the proteasome,Reactome,0,,15 (15),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Oncogene Induced Senescence,Wikipathways,0,,2 (2),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Interleukin-6 family signaling,Reactome,0,,22 (22),1,1,1,HMDB00538,2 (3),0.0147,0.119,0.0766,0.251
Regulation of beta-cell development,Wikipathways,0,,21 (21),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Interleukin-1 Induced Activation of NF-kappa-B,Wikipathways,0,,9 (9),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Regulation of TP53 Activity through Association with Co-factors,Wikipathways,0,,1 (1),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Regulation of signaling by CBL,Reactome,0,,18 (18),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Regulation of gene expression in beta cells,Reactome,0,,4 (4),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
MAP kinase cascade,HumanCyc,0,,9 (9),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
AKT phosphorylates targets in the nucleus,Reactome,0,,9 (9),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Interleukin-12 family signaling,Wikipathways,0,,2 (2),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
ERBB2 Activates PTK6 Signaling,Reactome,0,,13 (13),1,1,1,HMDB00538,2 (2),0.0147,0.119,0.0766,0.251
Endogenous TLR signaling,PID,4,TLR1;HSPD1;HMGB1;VCAN,26 (26),0.0149,0.169,0,,2 (2),1,1,0.0777,0.252
Transcriptional Regulation by MECP2,Wikipathways,1,MET,30 (30),0.681,1,1,HMDB00538,3 (3),0.0219,0.134,0.0778,0.252
ISG15 antiviral mechanism,Reactome,1,EIF4G1,30 (30),0.681,1,1,HMDB00538,3 (4),0.0219,0.134,0.0778,0.252
Antiviral mechanism by IFN-stimulated genes,Reactome,1,EIF4G1,30 (30),0.681,1,1,HMDB00538,3 (4),0.0219,0.134,0.0778,0.252
sarcosine oncometabolite pathway ,SMPDB,0,,13 (13),1,1,2,HMDB00538;HMDB00043,26 (26),0.015,0.121,0.0778,0.252
PTK6 Regulates RHO GTPases_ RAS GTPase and MAP kinases,Reactome,1,DOCK1,14 (14),0.413,1,1,HMDB00538,5 (5),0.0363,0.149,0.078,0.252
Transcriptional regulation by RUNX1,Wikipathways,1,MYB,19 (19),0.515,1,1,HMDB00538,4 (5),0.0292,0.138,0.078,0.252
Listeria monocytogenes entry into host cells,Reactome,1,MET,19 (19),0.515,1,1,HMDB00538,4 (4),0.0292,0.138,0.078,0.252
Folate Metabolism,SMPDB,2,MTHFD2;MTHFD1L,13 (13),0.0827,0.654,1,HMDB00538,27 (28),0.182,0.415,0.0781,0.252
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMPDB,2,MTHFD2;MTHFD1L,13 (13),0.0827,0.654,1,HMDB00538,27 (28),0.182,0.415,0.0781,0.252
Folate malabsorption_ hereditary,SMPDB,2,MTHFD2;MTHFD1L,13 (13),0.0827,0.654,1,HMDB00538,27 (28),0.182,0.415,0.0781,0.252
Mitotic Prophase,Wikipathways,0,,0 (0),1,1,1,HMDB00538,14 (16),0.0986,0.254,0.0986,0.254
Class I MHC mediated antigen processing & presentation,Wikipathways,0,,0 (0),1,1,1,HMDB00538,14 (24),0.0986,0.254,0.0986,0.254
Synthesis of active ubiquitin: roles of E1 and E2 enzymes,Reactome,1,UBE2C,31 (31),0.693,1,1,HMDB00538,3 (3),0.0219,0.134,0.0789,0.254
XBP1(S) activates chaperone genes,Wikipathways,2,HDGF;DDX11,47 (47),0.528,1,1,HMDB00538,4 (4),0.0292,0.138,0.0797,0.256
Etoposide Metabolism Pathway,SMPDB,2,TOP2A;MPO,19 (19),0.157,0.997,1,HMDB00538,14 (14),0.0986,0.254,0.08,0.257
Etoposide Action Pathway,SMPDB,2,TOP2A;MPO,19 (19),0.157,0.997,1,HMDB00538,14 (14),0.0986,0.254,0.08,0.257
Methotrexate Action Pathway,SMPDB,2,MTHFD2;MTHFD1L,13 (13),0.0827,0.654,1,HMDB00538,28 (29),0.188,0.427,0.0802,0.257
Regulation of TP53 Activity through Methylation,Reactome,1,EHMT2,20 (20),0.533,1,1,HMDB00538,4 (4),0.0292,0.138,0.0803,0.257
Pyrimidine biosynthesis,Reactome,1,UMPS,3 (3),0.108,0.78,1,HMDB00538,21 (22),0.144,0.344,0.0804,0.257
folate polyglutamylation,HumanCyc,1,MTHFD1L,5 (5),0.173,1,1,HMDB00538,13 (13),0.0919,0.241,0.0818,0.261
citrulline-nitric oxide cycle,HumanCyc,1,NOS2,5 (5),0.173,1,1,HMDB00538,13 (14),0.0919,0.241,0.0818,0.261
Mitochondrial biogenesis,Reactome,3,ALAS1;HCFC1;TFAM,53 (53),0.317,1,1,HMDB00538,7 (8),0.0505,0.173,0.0823,0.262
CTLA4 inhibitory signaling,Reactome,1,PPP2R5D,21 (21),0.55,1,1,HMDB00538,4 (4),0.0292,0.138,0.0824,0.262
Negative regulation of MET activity,Reactome,1,MET,21 (21),0.55,1,1,HMDB00538,4 (4),0.0292,0.138,0.0824,0.262
Taste transduction - Homo sapiens (human),KEGG,0,,83 (83),1,1,2,HMDB00094;HMDB00538,27 (33),0.0161,0.129,0.0825,0.262
Aryl hydrocarbon receptor signalling,Reactome,2,AHR;HSP90AB1,7 (7),0.0258,0.264,0,,0 (1),1,1,0.0258,0.264
SUMO is transferred from E1 to E2 (UBE2I_ UBC9),Reactome,2,SUMO3;UBA2,7 (7),0.0258,0.264,0,,0 (0),1,1,0.0258,0.264
cdc25 and chk1 regulatory pathway in response to dna damage,BioCarta,2,WEE1;CDK1,7 (7),0.0258,0.264,0,,0 (0),1,1,0.0258,0.264
GPCR Dopamine D1like receptor,INOH,2,PPP2R5D;PPP1CC,50 (50),0.562,1,1,HMDB00538,4 (4),0.0292,0.138,0.0837,0.265
TGF-beta Signaling Pathway,Wikipathways,10,TGFB1;STRAP;MET;CCNB2;RBL1;E2F4;NUP214;CDK1;HDAC1;FN1,132 (132),0.026,0.266,0,,0 (0),1,1,0.026,0.266
Biosynthesis of DHA-derived SPMs,Wikipathways,0,,0 (0),1,1,1,HMDB03337,15 (72),0.105,0.266,0.105,0.266
Chromatin organization,Wikipathways,0,,0 (0),1,1,1,HMDB00538,15 (16),0.105,0.266,0.105,0.266
Abacavir transport and metabolism,Wikipathways,0,,0 (0),1,1,1,HMDB00538,15 (24),0.105,0.266,0.105,0.266
Vitamin B6 (pyridoxine) metabolism,EHMN,0,,0 (0),1,1,1,HMDB00538,15 (16),0.105,0.266,0.105,0.266
Fc epsilon receptor (FCERI) signaling,Wikipathways,0,,0 (0),1,1,1,HMDB00538,15 (17),0.105,0.266,0.105,0.266
Fructose metabolism,Wikipathways,0,,0 (0),1,1,1,HMDB00538,15 (20),0.105,0.266,0.105,0.266
Ketone body metabolism,Wikipathways,0,,0 (0),1,1,1,HMDB00538,15 (16),0.105,0.266,0.105,0.266
Signal Transduction,Reactome,102,PIK3AP1;KNTC1;BCL9L;CENPN;INCENP;CENPE;CENPF;SPP1;SMC1A;DLGAP5;SPC25;CKAP5;NCBP1;NUF2;PLXND1;PTBP1;ARHGAP11A;BUB1;DSN1;RCC2;SPDL1;MET;HIST1H2AK;HIST1H2AC;HIST1H2AB;RCOR1;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H3C;AP2A2;HIST1H3I;NDC80;HIST1H4D;HIST1H4F;H2AFZ;NUP37;MAD1L1;BUB1B;KIF14;DLAT;TACC3;PLK1;IQGAP3;FKBP4;KIF2C;HSP90AB1;DOCK1;HIST1H3F;ZWILCH;RANGAP1;CENPT;HDAC6;FN1;NUP107;RBBP4;RBL1;ZW10;BIRC5;E2F1;NSL1;E2F4;CDK2;CCR2;OCRL;PLEKHG2;PRC1;TRIM27;SKA1;ECT2;CDCA8;CIT;PPP1CC;TGFB1;SPC24;AP2S1;NCOR2;GTF2F1;PPP2R5D;STRAP;EIF4G1;NUP133;SMARCA4;H2AFX;RACGAP1;LRP5;HIST1H2BB;SPRED1;CTBP1;CDK1;REEP4;HDAC2;CDC20;BUB3;CDC25C;NUDC;PMF1;MAD2L1;HDAC1;MYB;CDK4;AURKB,2633 (2647),0.352,1,4,HMDB00095;HMDB00285;HMDB00538;HMDB01176,192 (271),0.0467,0.172,0.0841,0.266
ERK/MAPK targets,Reactome,1,PPP2R5D,22 (22),0.567,1,1,HMDB00538,4 (4),0.0292,0.138,0.0844,0.266
Signaling by PTK6,Reactome,3,CDK2;CDK4;DOCK1,54 (54),0.328,1,1,HMDB00538,7 (7),0.0505,0.173,0.0844,0.266
Signaling by Non-Receptor Tyrosine Kinases,Reactome,3,CDK2;CDK4;DOCK1,54 (54),0.328,1,1,HMDB00538,7 (7),0.0505,0.173,0.0844,0.266
Notch,INOH,7,PSMC1;PSMD1;PSMD2;PSMD3;PSMD5;PSMD7;PSMD13,78 (79),0.0262,0.267,0,,0 (0),1,1,0.0262,0.267
Vitamin B6 metabolism,INOH,1,PSAT1,4 (5),0.141,0.943,1,HMDB00538,17 (17),0.118,0.292,0.0852,0.268
Ovarian tumor domain proteases,Reactome,1,CDK1,38 (38),0.765,1,1,HMDB00538,3 (5),0.0219,0.134,0.0854,0.268
Validated nuclear estrogen receptor beta network,PID,3,SMARCA4;SMARCB1;DDX54,15 (15),0.0168,0.187,0,,1 (1),1,1,0.0856,0.268
Etoposide Pathway_ Pharmacokinetics/Pharmacodynamics,PharmGKB,3,MPO;ABCC1;TOP2A,15 (15),0.0168,0.187,0,,3 (3),1,1,0.0856,0.268
Purine ribonucleoside monophosphate biosynthesis,Reactome,2,ATIC;IMPDH2,12 (12),0.0717,0.603,1,HMDB00538,36 (37),0.235,0.518,0.0857,0.269
sucrose degradation,HumanCyc,1,TPI1,8 (8),0.262,1,1,HMDB00538,9 (13),0.0645,0.198,0.086,0.269
Vitamin C (ascorbate) metabolism,Reactome,1,GSTO1,8 (8),0.262,1,1,HMDB03337,9 (12),0.0645,0.198,0.086,0.269
mTORC1-mediated signalling,Reactome,1,EIF4G1,23 (24),0.583,1,1,HMDB00538,4 (4),0.0292,0.138,0.0863,0.269
RAF-independent MAPK1/3 activation,Reactome,1,CDK1,23 (23),0.583,1,1,HMDB00538,4 (4),0.0292,0.138,0.0863,0.269
Metabolism of folate and pterines,Reactome,2,MTHFD2;MTHFD1L,17 (17),0.131,0.915,1,HMDB00538,19 (25),0.132,0.319,0.0871,0.271
&gamma;-glutamyl cycle,HumanCyc,0,,12 (13),1,1,2,HMDB00538;HMDB00267,28 (29),0.0173,0.134,0.0873,0.272
Lysine degradation - Homo sapiens (human),KEGG,5,EHMT2;SETD1A;DOT1L;OGDH;SUV39H1,59 (59),0.0686,0.596,1,HMDB01325,39 (55),0.252,0.553,0.0875,0.272
Platelet sensitization by LDL,Reactome,1,PPP2R5D,17 (17),0.476,1,1,HMDB00538,5 (6),0.0363,0.149,0.0875,0.272
HSF1 activation,Reactome,4,FKBP4;RPA1;HSP90AB1;HDAC6,31 (31),0.0272,0.274,0,,0 (0),1,1,0.0272,0.274
Deadenylation-dependent mRNA decay,Reactome,3,EXOSC9;EXOSC6;EIF4G1,56 (56),0.348,1,1,HMDB00095,7 (11),0.0505,0.173,0.0886,0.275
Transcriptional regulation by RUNX2,Reactome,4,CCNB1;CDK4;HDAC6;CDK1,75 (75),0.307,1,1,HMDB00538,8 (10),0.0575,0.186,0.0889,0.275
Cargo recognition for clathrin-mediated endocytosis,Reactome,5,AAK1;AP2A2;M6PR;FCHO1;AP2S1,99 (99),0.31,1,1,HMDB00538,8 (10),0.0575,0.186,0.0897,0.277
Nuclear Events (kinase and transcription factor activation),Reactome,1,PPP2R5D,25 (25),0.614,1,1,HMDB00538,4 (4),0.0292,0.138,0.0899,0.277
Epstein-Barr virus infection - Homo sapiens (human),KEGG,14,PSMC1;NCOR2;PSMD1;PSMD2;E2F1;PSMD3;PSMD7;HDAC1;PSMD13;CDK6;CDK2;CCNA2;CDK4;HDAC2,200 (201),0.0179,0.199,0,,3 (3),1,1,0.09,0.277
TCA cycle,EHMN,1,OGDH,30 (30),0.681,1,2,HMDB00094;HMDB00538,35 (36),0.0263,0.138,0.0901,0.277
Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway,Wikipathways,3,TGFB1;FN1;SUV39H1,18 (18),0.0278,0.279,0,,0 (0),1,1,0.0278,0.279
tRNA modification in the nucleus and cytosol,Wikipathways,0,,0 (0),1,1,1,HMDB00538,16 (19),0.112,0.28,0.112,0.28
Respiratory electron transport_ ATP synthesis by chemiosmotic coupling_ and heat production by uncoupling proteins.,Wikipathways,0,,0 (0),1,1,1,HMDB00538,16 (22),0.112,0.28,0.112,0.28
Fcgamma receptor (FCGR) dependent phagocytosis,Wikipathways,0,,0 (0),1,1,1,HMDB00538,16 (18),0.112,0.28,0.112,0.28
Nucleotide-binding domain_ leucine rich repeat containing receptor (NLR) signaling pathways,Reactome,1,HSP90AB1,47 (47),0.833,1,1,HMDB00538,3 (6),0.0219,0.134,0.0915,0.281
Clathrin derived vesicle budding,Reactome,3,OCRL;M6PR;DNAJC6,72 (72),0.507,1,1,HMDB00538,5 (6),0.0363,0.149,0.092,0.282
trans-Golgi Network Vesicle Budding,Reactome,3,OCRL;M6PR;DNAJC6,72 (72),0.507,1,1,HMDB00538,5 (6),0.0363,0.149,0.092,0.282
Propanoate metabolism,EHMN,0,,18 (18),1,1,2,HMDB00094;HMDB00538,29 (33),0.0185,0.134,0.0921,0.282
Glutamate Glutamine metabolism,INOH,0,,27 (27),1,1,2,HMDB03337;HMDB00538,29 (34),0.0185,0.134,0.0921,0.282
Fructose and mannose metabolism,EHMN,0,,21 (21),1,1,2,HMDB00538;HMDB01265,29 (34),0.0185,0.134,0.0921,0.282
Citrate cycle,INOH,1,OGDH,32 (32),0.704,1,2,HMDB00094;HMDB00538,35 (35),0.0263,0.138,0.0926,0.283
Semaphorin interactions,Reactome,3,PLXND1;HSP90AB1;MET,64 (64),0.43,1,1,HMDB00538,6 (6),0.0434,0.161,0.0929,0.284
MET promotes cell motility,Reactome,1,MET,27 (27),0.642,1,1,HMDB00538,4 (4),0.0292,0.138,0.0932,0.284
urate biosynthesis/inosine 5_-phosphate degradation,HumanCyc,2,PNP;IMPDH2,6 (6),0.0189,0.205,0,,10 (11),1,1,0.0938,0.285
Telomere Extension By Telomerase,Reactome,2,RUVBL2;NHP2,6 (6),0.0189,0.205,0,,4 (5),1,1,0.0938,0.285
Benzene metabolism,Wikipathways,2,GSTM1;MPO,6 (6),0.0189,0.205,0,,7 (11),1,1,0.0938,0.285
p130Cas linkage to MAPK signaling for integrins,Reactome,1,FN1,15 (15),0.435,1,1,HMDB00538,6 (8),0.0434,0.161,0.0939,0.285
NRAGE signals death through JNK,Reactome,2,PLEKHG2;ECT2,59 (61),0.652,1,1,HMDB00538,4 (4),0.0292,0.138,0.0944,0.286
Prefoldin mediated transfer of substrate  to CCT/TriC,Reactome,4,CCT2;CCT6A;TCP1;TUBA1C,28 (28),0.0193,0.207,0,,1 (1),1,1,0.0955,0.289
DDX58/IFIH1-mediated induction of interferon-alpha/beta,Reactome,1,HMGB1,56 (56),0.882,1,1,HMDB00538,3 (6),0.0219,0.134,0.0957,0.289
Biotin transport and metabolism,Reactome,1,ACACA,11 (11),0.342,1,1,HMDB00538,8 (9),0.0575,0.186,0.097,0.29
Glycogenosis_ Type III. Cori disease_ Debrancher glycogenosis,SMPDB,0,,18 (18),1,1,2,HMDB00285;HMDB00538,30 (30),0.0197,0.134,0.097,0.29
Glycogenosis_ Type VI. Hers disease,SMPDB,0,,18 (18),1,1,2,HMDB00285;HMDB00538,30 (30),0.0197,0.134,0.097,0.29
Fructose Mannose metabolism,INOH,0,,30 (30),1,1,2,HMDB01265;HMDB00538,30 (33),0.0197,0.134,0.097,0.29
Glycogen synthetase deficiency,SMPDB,0,,18 (18),1,1,2,HMDB00285;HMDB00538,30 (30),0.0197,0.134,0.097,0.29
Mucopolysaccharidosis VI. Sly syndrome,SMPDB,0,,18 (18),1,1,2,HMDB00285;HMDB00538,30 (30),0.0197,0.134,0.097,0.29
Sucrase-isomaltase deficiency,SMPDB,0,,18 (18),1,1,2,HMDB00285;HMDB00538,30 (30),0.0197,0.134,0.097,0.29
Glycogenosis_ Type IV. Amylopectinosis_ Anderson disease,SMPDB,0,,18 (18),1,1,2,HMDB00285;HMDB00538,30 (30),0.0197,0.134,0.097,0.29
Starch and Sucrose Metabolism,SMPDB,0,,18 (18),1,1,2,HMDB00285;HMDB00538,30 (30),0.0197,0.134,0.097,0.29
Transcriptional regulation by RUNX3,Wikipathways,1,SPP1,13 (13),0.39,1,1,HMDB00538,7 (7),0.0505,0.173,0.0971,0.29
Lysosome - Homo sapiens (human),KEGG,4,M6PR;CTSC;GLA;CTSG,123 (123),0.679,1,1,HMDB00538,4 (4),0.0292,0.138,0.0975,0.29
Activation of BH3-only proteins,Reactome,1,E2F1,30 (30),0.681,1,1,HMDB00538,4 (4),0.0292,0.138,0.0977,0.29
Translesion synthesis by REV1,Reactome,3,RFC5;RPA1;REV1,16 (16),0.0201,0.215,0,,2 (3),1,1,0.0988,0.29
MAPK targets/ Nuclear events mediated by MAP kinases,Reactome,1,PPP2R5D,31 (31),0.693,1,1,HMDB00538,4 (4),0.0292,0.138,0.099,0.29
Mitochondrial protein import,Reactome,2,CYC1;HSPD1,65 (65),0.704,1,1,HMDB00538,4 (4),0.0292,0.138,0.1,0.29
Osteopontin-mediated events,PID,1,SPP1,32 (32),0.704,1,1,HMDB00538,4 (6),0.0292,0.138,0.1,0.29
Peroxisomal lipid metabolism,Reactome,1,ECI2,29 (29),0.669,1,2,HMDB00201;HMDB00538,38 (60),0.0307,0.144,0.1,0.29
rRNA modification in the nucleus and cytosol,Reactome,6,NOP56;NHP2;UTP6;DHX37;HEATR1;UTP3,58 (59),0.0206,0.218,0,,4 (12),1,1,0.101,0.29
rRNA processing in the nucleus and cytosol,Reactome,6,NOP56;NHP2;UTP6;DHX37;HEATR1;UTP3,58 (59),0.0206,0.218,0,,4 (12),1,1,0.101,0.29
Constitutive Signaling by Aberrant PI3K in Cancer,Reactome,2,MET;PIK3AP1,69 (69),0.735,1,1,HMDB00538,4 (17),0.0292,0.138,0.104,0.29
Signaling by Interleukins,Reactome,8,HIST1H3C;HIST1H3I;SMARCA4;HIST1H3F;HMGB1;CANX;PPP2R5D;PRTN3,254 (254),0.737,1,1,HMDB00538,4 (14),0.0292,0.138,0.104,0.29
Cell-Cell communication,Reactome,1,ACTN4,123 (124),0.991,1,1,HMDB00538,3 (3),0.0219,0.134,0.105,0.29
RUNX2 regulates osteoblast differentiation,Reactome,1,HDAC6,24 (24),0.599,1,1,HMDB00538,5 (6),0.0363,0.149,0.105,0.29
ER-Phagosome pathway,Reactome,1,TLR1,24 (24),0.599,1,1,HMDB00538,5 (11),0.0363,0.149,0.105,0.29
Clathrin-mediated endocytosis,Reactome,7,AAK1;AP2A2;DNAJC6;M6PR;FCHO1;AP2S1;OCRL,138 (138),0.257,1,1,HMDB00538,12 (16),0.0851,0.228,0.105,0.29
FGFR2b ligand binding and activation,Reactome,0,,10 (10),1,1,1,HMDB00538,3 (4),0.0219,0.134,0.106,0.29
FGFR2c ligand binding and activation,Reactome,0,,13 (13),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Regulation of RUNX2 expression and activity,Wikipathways,0,,2 (2),1,1,1,HMDB00538,3 (4),0.0219,0.134,0.106,0.29
FGFR3b ligand binding and activation,Reactome,0,,7 (7),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,Reactome,0,,13 (13),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
FGFR2 ligand binding and activation,Reactome,0,,20 (20),1,1,1,HMDB00538,3 (4),0.0219,0.134,0.106,0.29
betaKlotho-mediated ligand binding,Reactome,0,,3 (3),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
FGFR4 ligand binding and activation,Reactome,0,,14 (14),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Signaling by activated point mutants of FGFR1,Reactome,0,,11 (11),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Spry regulation of FGF signaling,Reactome,0,,14 (14),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,Reactome,0,,13 (13),1,1,1,HMDB00538,3 (4),0.0219,0.134,0.106,0.29
Prolactin receptor signaling,Reactome,0,,14 (14),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
AMPK inhibits chREBP transcriptional activation activity,Reactome,0,,8 (8),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Signaling by cytosolic FGFR1 fusion mutants,Reactome,0,,18 (18),1,1,1,HMDB00538,3 (8),0.0219,0.134,0.106,0.29
gata3 participate in activating the th2 cytokine genes expression,BioCarta,0,,19 (19),1,1,1,HMDB00538,3 (5),0.0219,0.134,0.106,0.29
signaling pathway from g-protein families,BioCarta,0,,26 (26),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Role of LAT2/NTAL/LAB on calcium mobilization,Reactome,0,,93 (93),1,1,1,HMDB00538,3 (5),0.0219,0.134,0.106,0.29
CD28 dependent PI3K/Akt signaling,Reactome,0,,22 (22),1,1,1,HMDB00538,3 (4),0.0219,0.134,0.106,0.29
FGFR3 mutant receptor activation,Reactome,0,,12 (12),1,1,1,HMDB00538,3 (12),0.0219,0.134,0.106,0.29
Activation of AKT2,Reactome,0,,4 (4),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
PD-1 signaling,Reactome,0,,31 (31),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Activated point mutants of FGFR2,Reactome,0,,17 (17),1,1,1,HMDB00538,3 (10),0.0219,0.134,0.106,0.29
Signaling by MST1,Reactome,0,,5 (5),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Dectin-2 family,Reactome,0,,29 (29),1,1,1,HMDB00538,3 (4),0.0219,0.134,0.106,0.29
Inhibition of TSC complex formation by PKB,Reactome,0,,3 (3),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
endocytotic role of ndk phosphins and dynamin,BioCarta,0,,17 (17),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
RIPK1-mediated regulated necrosis,Reactome,0,,16 (16),1,1,1,HMDB00538,3 (6),0.0219,0.134,0.106,0.29
Regulated Necrosis,Reactome,0,,16 (16),1,1,1,HMDB00538,3 (6),0.0219,0.134,0.106,0.29
CaMK IV-mediated phosphorylation of CREB,Reactome,0,,3 (3),1,1,1,HMDB00538,3 (4),0.0219,0.134,0.106,0.29
TNF signaling,Reactome,0,,37 (37),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Reactome,0,,20 (20),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
Activation of TRKA receptors,Reactome,0,,6 (6),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
CDO in myogenesis,Reactome,0,,29 (29),1,1,1,HMDB00538,3 (3),0.0219,0.134,0.106,0.29
