pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
how progesterone initiates the oocyte maturation,BioCarta,0,,23 (23),1,1,1,HMDB01201,5 (5),0.0695,0.374,0.255,0.594
LDL clearance,Reactome,0,,19 (19),1,1,1,HMDB00658#HMDB10370,5 (9),0.0695,0.374,0.255,0.594
Plasma lipoprotein clearance,Reactome,0,,33 (33),1,1,1,HMDB00658#HMDB10370,5 (9),0.0695,0.374,0.255,0.594
Platelet sensitization by LDL,Reactome,0,,17 (17),1,1,1,HMDB00658#HMDB10370,5 (6),0.0695,0.374,0.255,0.594
FRS-mediated FGFR1 signaling,Reactome,0,,23 (23),1,1,1,HMDB01201,5 (5),0.0695,0.374,0.255,0.594
Lactose synthesis,Reactome,0,,3 (3),1,1,1,HMDB00295,5 (6),0.0695,0.374,0.255,0.594
FGFR3c ligand binding and activation,Reactome,0,,13 (13),1,1,1,HMDB00295,5 (5),0.0695,0.374,0.255,0.594
Ceramide signalling,Reactome,0,,3 (3),1,1,1,HMDB04951,5 (5),0.0695,0.374,0.255,0.594
Pre-NOTCH Processing in Golgi,Reactome,0,,12 (12),1,1,1,HMDB00295,5 (5),0.0695,0.374,0.255,0.594
FRS-mediated FGFR3 signaling,Reactome,0,,20 (20),1,1,1,HMDB01201,5 (5),0.0695,0.374,0.255,0.594
mucin core 1 and core 2 <i>O</i>-glycosylation,HumanCyc,0,,30 (30),1,1,1,HMDB00295,5 (8),0.0695,0.374,0.255,0.594
SHC-mediated cascade:FGFR1,Reactome,0,,21 (21),1,1,1,HMDB01201,5 (5),0.0695,0.374,0.255,0.594
Demo complete,Wikipathways,0,,6 (6),1,1,1,HMDB00658#HMDB10370,5 (5),0.0695,0.374,0.255,0.594
Insulin signaling pathway - Homo sapiens (human),KEGG,11,BRAF;FOXO1;RHOQ;PIK3CA;PYGL;AKT3;IRS2;PRKCZ;MKNK1;INSR;PRKAG2,137 (137),0.0697,0.613,0,,3 (4),1,1,0.255,0.595
Valproic acid pathway,Wikipathways,1,EHHADH,13 (13),0.477,1,1,HMDB00295,11 (11),0.147,0.579,0.256,0.596
D-<i>myo</i>-inositol-5-phosphate metabolism,HumanCyc,3,PLCG2;PLCD3;PLCB4,20 (20),0.0703,0.613,0,,6 (8),1,1,0.257,0.597
Regulation of TP53 Activity through Methylation,Reactome,3,MDM2;JMY;MDM4,20 (20),0.0703,0.613,0,,4 (4),1,1,0.257,0.597
Herpes simplex infection - Homo sapiens (human),KEGG,14,JAK1;CLOCK;PILRA;CD74;TAP1;EIF2AK3;OAS3;HMGN1;SP100;STAT1;RNASEL;CASP3;HCFC2;SRSF5,185 (185),0.0667,0.599,0,,0 (0),1,1,0.0667,0.599
Type II diabetes mellitus - Homo sapiens (human),KEGG,5,CACNA1E;PIK3CA;INSR;IRS2;PRKCZ,46 (46),0.071,0.618,0,,5 (6),1,1,0.259,0.599
GABA B receptor activation,Reactome,1,GNG2,39 (39),0.857,1,1,HMDB01201,6 (6),0.0829,0.406,0.259,0.599
Activation of GABAB receptors,Reactome,1,GNG2,39 (39),0.857,1,1,HMDB01201,6 (6),0.0829,0.406,0.259,0.599
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Reactome,0,,13 (13),1,1,2,HMDB01388;HMDB00673,31 (42),0.0713,0.381,0.259,0.599
Fatty Acid Biosynthesis,SMPDB,0,,2 (2),1,1,2,HMDB00220;HMDB00806,31 (31),0.0713,0.381,0.259,0.599
mTOR signalling,Reactome,2,RRAGD;PRKAG2,40 (41),0.585,1,1,HMDB01201,9 (9),0.122,0.512,0.259,0.599
Pancreatic cancer - Homo sapiens (human),KEGG,7,BRAF;JAK1;TGFBR1;PIK3CA;AKT3;ARHGEF6;STAT1,75 (75),0.0713,0.619,0,,2 (2),1,1,0.259,0.599
Cushing syndrome - Homo sapiens (human),KEGG,12,BRAF;WNT10A;KMT2A;CACNA1S;CAMK2A;CACNA1H;CAMK2D;ATF4;RAP1B;PLCB4;CREB3L2;ITPR2,154 (154),0.0718,0.623,0,,13 (14),1,1,0.261,0.6
Beta Oxidation of Very Long Chain Fatty Acids,SMPDB,1,ABCD2,10 (10),0.392,1,1,HMDB02003,14 (14),0.183,0.686,0.261,0.6
Adrenoleukodystrophy_ X-linked,SMPDB,1,ABCD2,10 (10),0.392,1,1,HMDB02003,14 (14),0.183,0.686,0.261,0.6
Carnitine-acylcarnitine translocase deficiency,SMPDB,1,ABCD2,10 (10),0.392,1,1,HMDB02003,14 (14),0.183,0.686,0.261,0.6
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Reactome,2,TBXAS1;PTGIS,16 (16),0.181,0.867,1,HMDB01043,36 (43),0.407,1,0.266,0.608
Sialuria or French Type Sialuria,SMPDB,2,HEXA;GFPT1,17 (17),0.199,0.916,1,HMDB00295,32 (32),0.371,1,0.266,0.608
Sialuria or French Type Sialuria,SMPDB,2,HEXA;GFPT1,17 (17),0.199,0.916,1,HMDB00295,32 (32),0.371,1,0.266,0.608
Amino Sugar Metabolism,SMPDB,2,HEXA;GFPT1,17 (17),0.199,0.916,1,HMDB00295,32 (32),0.371,1,0.266,0.608
G(M2)-Gangliosidosis: Variant B_ Tay-sachs disease,SMPDB,2,HEXA;GFPT1,17 (17),0.199,0.916,1,HMDB00295,32 (32),0.371,1,0.266,0.608
Tay-Sachs Disease,SMPDB,2,HEXA;GFPT1,17 (17),0.199,0.916,1,HMDB00295,32 (32),0.371,1,0.266,0.608
Salla Disease/Infantile Sialic Acid Storage Disease,SMPDB,2,HEXA;GFPT1,17 (17),0.199,0.916,1,HMDB00295,32 (32),0.371,1,0.266,0.608
Irinotecan Action Pathway,SMPDB,1,PDIA4,23 (23),0.682,1,1,HMDB00295,8 (12),0.109,0.479,0.268,0.61
Irinotecan Metabolism Pathway,SMPDB,1,PDIA4,23 (23),0.682,1,1,HMDB00295,8 (12),0.109,0.479,0.268,0.61
Hepatitis C - Homo sapiens (human),KEGG,12,BRAF;EIF2AK3;JAK1;CFLAR;PIK3CA;CXCL10;OAS3;AKT3;STAT1;CLDN7;RNASEL;CASP3,155 (155),0.0745,0.64,0,,1 (2),1,1,0.268,0.61
Myometrial Relaxation and Contraction Pathways,Wikipathways,12,IGFBP5;GJA1;PRKCA;CAMK2A;CAMK2D;ATF1;ATF4;GRK5;PRKCZ;PLCG2;GNG2;ITPR2,155 (155),0.0745,0.64,0,,4 (4),1,1,0.268,0.61
Glycerolipid metabolism - Homo sapiens (human),KEGG,6,ALDH3A2;LPIN1;PNPLA2;DGKH;ALDH7A1;AGPAT4,61 (61),0.0747,0.64,0,,12 (36),1,1,0.269,0.611
TYROBP Causal Network,Wikipathways,6,CD84;IL18;TGFBR1;NCF2;APBB1IP;CREB3L2,60 (60),0.0701,0.613,0,,0 (0),1,1,0.0701,0.613
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,HumanCyc,0,,4 (4),1,1,2,HMDB00158;HMDB00159,32 (35),0.0753,0.403,0.27,0.614
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Reactome,7,ITGAL;PILRA;ITGB7;CD96;B2M;CD200;SLAMF7,218 (221),0.91,1,1,HMDB04951,6 (19),0.0829,0.406,0.27,0.614
Cocaine addiction - Homo sapiens (human),KEGG,2,CREB3L2;ATF4,49 (49),0.695,1,1,HMDB00158,8 (8),0.109,0.479,0.271,0.615
Mineral absorption - Homo sapiens (human),KEGG,4,SLC46A1;SLC40A1;SLC39A4;ATP1B3,51 (51),0.234,0.967,1,HMDB00159,27 (29),0.324,1,0.271,0.615
Regulation of actin dynamics for phagocytic cup formation,Reactome,4,ABI2;PAK1;ARPC2;BTK,141 (141),0.916,1,1,HMDB01201,6 (12),0.0829,0.406,0.272,0.615
Signaling by the B Cell Receptor (BCR),Wikipathways,0,,0 (0),1,1,1,HMDB01201,12 (15),0.159,0.616,0.159,0.616
Endothelin Pathways,Wikipathways,2,PRKCA;EDNRA,33 (33),0.481,1,1,HMDB01043,12 (12),0.159,0.616,0.273,0.618
Translocation of GLUT4 to the plasma membrane,Reactome,1,PRKAG2,32 (32),0.797,1,1,HMDB01201,7 (7),0.096,0.441,0.273,0.618
CLEC7A (Dectin-1) signaling,Reactome,2,PLCG2;ITPR2,40 (40),0.585,1,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,10 (12),0.134,0.545,0.279,0.629
Nicotine Activity on Dopaminergic Neurons,Wikipathways,1,GNG2,21 (21),0.649,1,1,HMDB00158,9 (9),0.122,0.512,0.28,0.631
CTLA4 inhibitory signaling,Reactome,3,AKT3;CD80;CTLA4,21 (21),0.0792,0.666,0,,4 (4),1,1,0.28,0.631
Negative regulation of MET activity,Reactome,3,HGF;STAM;LRIG1,21 (21),0.0792,0.666,0,,4 (4),1,1,0.28,0.631
Interleukin-1 family signaling,Reactome,7,CASP1;PELI1;IRAK3;SQSTM1;IL18BP;IL18;MAP3K3,77 (77),0.0796,0.668,0,,2 (8),1,1,0.281,0.633
CD40/CD40L signaling,PID,4,MAPK11;BIRC2;PIK3CA;PIK3CG,34 (34),0.0809,0.668,0,,1 (1),1,1,0.284,0.638
Signaling by high-kinase activity BRAF mutants,Reactome,4,BRAF;RAP1B;PEBP1;APBB1IP,34 (34),0.0809,0.668,0,,6 (11),1,1,0.284,0.638
Melatonin metabolism and effects,Wikipathways,4,PRKCA;CLOCK;FOXO1;CAMK2A,34 (34),0.0809,0.668,0,,13 (15),1,1,0.284,0.638
Hyaluronan uptake and degradation,Reactome,2,HEXA;LYVE1,10 (10),0.0818,0.668,0,,5 (6),1,1,0.287,0.638
IRE1alpha activates chaperones,Reactome,2,ERN1;SERP1,10 (10),0.0818,0.668,0,,4 (4),1,1,0.287,0.638
Signal attenuation,Reactome,2,INSR;IRS2,10 (10),0.0818,0.668,0,,1 (1),1,1,0.287,0.638
Netrin mediated repulsion signals,Reactome,2,UNC5B;DCC,10 (10),0.0818,0.668,0,,2 (2),1,1,0.287,0.638
Phototransduction - Homo sapiens (human),KEGG,1,PDE6A,28 (28),0.752,1,1,HMDB01397,8 (8),0.109,0.479,0.287,0.638
Notch-mediated HES/HEY network,PID,5,BGLAP;CAMK2D;NCOR1;NCOA1;MAML2,48 (48),0.082,0.668,0,,3 (3),1,1,0.287,0.638
Nicotine Pathway (Dopaminergic Neuron)_ Pharmacodynamics,PharmGKB,5,STX7;VAMP4;GNG2;STX17;STX16,48 (48),0.082,0.668,0,,1 (1),1,1,0.287,0.638
Oocyte meiosis - Homo sapiens (human),KEGG,10,CPEB3;CAMK2A;PTTG1;CAMK2D;RPS6KA2;RPS6KA3;IGF1R;MAPK12;ITPR2;PPP3CC,125 (125),0.0827,0.672,0,,4 (4),1,1,0.289,0.638
COX reactions,Reactome,0,,1 (1),1,1,1,HMDB01043,6 (8),0.0829,0.406,0.289,0.638
Insulin effects increased synthesis of Xylulose-5-Phosphate,Reactome,0,,2 (2),1,1,1,HMDB00618#HMDB01548,6 (8),0.0829,0.406,0.289,0.638
Eukaryotic Translation Termination,Reactome,0,,103 (104),1,1,1,HMDB01201,6 (10),0.0829,0.406,0.289,0.638
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis,HumanCyc,0,,12 (12),1,1,1,HMDB01201,6 (6),0.0829,0.406,0.289,0.638
cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway,BioCarta,0,,22 (22),1,1,1,HMDB01201,6 (7),0.0829,0.406,0.289,0.638
Influenza Life Cycle,Reactome,0,,53 (53),1,1,1,HMDB01201,6 (9),0.0829,0.406,0.289,0.638
Sema4D mediated inhibition of cell attachment and migration,Reactome,0,,8 (8),1,1,1,HMDB01201,6 (6),0.0829,0.406,0.289,0.638
Influenza Infection,Reactome,0,,63 (63),1,1,1,HMDB01201,6 (9),0.0829,0.406,0.289,0.638
Signaling by ROBO receptors,Wikipathways,0,,4 (4),1,1,1,HMDB01201,6 (8),0.0829,0.406,0.289,0.638
Signaling by ERBB4,Wikipathways,0,,5 (5),1,1,1,HMDB01201,6 (8),0.0829,0.406,0.289,0.638
regulation of ck1/cdk5 by type 1 glutamate receptors,BioCarta,0,,24 (24),1,1,1,HMDB01201,6 (7),0.0829,0.406,0.289,0.638
Vasopressin regulates renal water homeostasis via Aquaporins,Reactome,1,GNG2,40 (40),0.864,1,1,HMDB01201,7 (7),0.096,0.441,0.289,0.638
Angiogenesis overview,Wikipathways,6,MAPK11;PAK1;PRKCA;BMX;MMP2;NRP1,61 (61),0.0747,0.64,0,,0 (0),1,1,0.0747,0.64
Hypoacetylaspartia,SMPDB,0,,14 (14),1,1,2,HMDB00536;HMDB01201,34 (34),0.0837,0.409,0.291,0.641
Aspartate Metabolism,SMPDB,0,,14 (14),1,1,2,HMDB00536;HMDB01201,34 (34),0.0837,0.409,0.291,0.641
Canavan Disease,SMPDB,0,,14 (14),1,1,2,HMDB00536;HMDB01201,34 (34),0.0837,0.409,0.291,0.641
Transport of inorganic cations/anions and amino acids/oligopeptides,Reactome,5,SLC12A4;SLC26A11;SLC9A9;SLC3A2;SLC12A2,105 (105),0.582,1,2,HMDB00158;HMDB00159,47 (56),0.144,0.579,0.292,0.641
TLR p38,INOH,6,MAPK11;PSMB9;MAPK13;PSMA3;LY96;MAPK12,63 (63),0.0845,0.682,0,,1 (1),1,1,0.293,0.643
MECP2 and Associated Rett Syndrome,Wikipathways,6,FUT8;TAP1;NCOR1;SGK1;CAMK2A;MEF2C,63 (63),0.0845,0.682,0,,7 (8),1,1,0.293,0.643
Leptin signaling pathway,Wikipathways,7,CISH;FOXO1;NCOA1;LEPR;STAT1;PLCG2;JAK1,76 (76),0.0754,0.643,0,,0 (0),1,1,0.0754,0.643
Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human),KEGG,11,MAPK11;SKIL;MAPK13;JAK1;WNT10A;PIK3CA;AKT3;BMPR1A;FGFR2;IGF1R;MAPK12,139 (139),0.0755,0.643,0,,0 (0),1,1,0.0755,0.643
Direct p53 effectors,PID,11,MDM2;CASP1;TAP1;IRF5;JMY;DDX5;MMP2;RCHY1;NDRG1;HGF;PRDM1,142 (143),0.0849,0.685,0,,1 (1),1,1,0.294,0.645
Energy Metabolism,Wikipathways,5,MEF2C;NCOA1;FOXO1;PPP3CC;PRKAG2,47 (47),0.0764,0.648,0,,0 (1),1,1,0.0764,0.648
Triglyceride biosynthesis,Reactome,1,LPIN1,14 (14),0.502,1,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,13 (18),0.171,0.653,0.297,0.65
ABC-family proteins mediated transport,Wikipathways,0,,0 (0),1,1,1,HMDB08048#HMDB08036#HMDB08038,13 (22),0.171,0.653,0.171,0.653
Arachidonic acid metabolism - Homo sapiens (human),KEGG,4,PTGIS;PLA2G12A;TBXAS1;ALOX12,63 (63),0.366,1,2,HMDB01043;HMDB08048#HMDB08036#HMDB08038,65 (75),0.238,0.85,0.3,0.656
N-Glycan biosynthesis - Homo sapiens (human),KEGG,5,DPM3;ST6GAL1;FUT8;MAN1B1;MGAT4A,49 (49),0.0879,0.697,0,,9 (36),1,1,0.302,0.658
Malaria - Homo sapiens (human),KEGG,5,SDC1;IL10;ITGAL;HGF;IL18,49 (49),0.0879,0.697,0,,3 (5),1,1,0.302,0.658
Platelet Aggregation Inhibitor Pathway_ Pharmacodynamics,PharmGKB,5,PLCG2;COL3A1;TBXAS1;COL1A1;COL1A2,49 (49),0.0879,0.697,0,,2 (5),1,1,0.302,0.658
PDGFR-alpha signaling pathway,PID,3,PDGFRA;PIK3CA;JAK1,22 (22),0.0885,0.697,0,,2 (2),1,1,0.303,0.66
Nanoparticle triggered autophagic cell death,Wikipathways,3,INSR;SH3GLB1;ATG7,22 (22),0.0885,0.697,0,,1 (1),1,1,0.303,0.66
PI3K-AKT-mTOR - VitD3 Signalling,Wikipathways,3,PIK3CA;IL10;CD80,22 (22),0.0885,0.697,0,,7 (8),1,1,0.303,0.66
FCERI mediated Ca+2 mobilization,Reactome,5,PLCG2;GRAP2;ITPR2;TEC;BTK,108 (108),0.607,1,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,11 (12),0.147,0.579,0.305,0.663
Cortisol synthesis and secretion - Homo sapiens (human),KEGG,6,CACNA1S;CACNA1H;ATF4;PLCB4;CREB3L2;ITPR2,64 (64),0.0896,0.698,0,,13 (13),1,1,0.306,0.664
GABA receptor activation,Reactome,1,GNG2,55 (55),0.936,1,1,HMDB01201,7 (7),0.096,0.441,0.306,0.665
Neovascularisation processes,Wikipathways,3,CXCR4;FLT4;TGFBR1,21 (21),0.0792,0.666,0,,0 (0),1,1,0.0792,0.666
ion channels and their functional role in vascular endothelium,BioCarta,2,CXCR4;EDNRA,47 (47),0.673,1,1,HMDB01201,10 (11),0.134,0.545,0.308,0.668
SNARE interactions in vesicular transport - Homo sapiens (human),KEGG,4,STX7;VAMP4;STX16;STX17,34 (34),0.0809,0.668,0,,0 (0),1,1,0.0809,0.668
Signaling of Hepatocyte Growth Factor Receptor,Wikipathways,4,PIK3CA;RAP1B;PAK1;HGF,34 (34),0.0809,0.668,0,,0 (0),1,1,0.0809,0.668
ifn alpha signaling pathway,BioCarta,2,JAK1;STAT1,10 (10),0.0818,0.668,0,,0 (1),1,1,0.0818,0.668
IL-13 signaling,INOH,2,JAK1;IRS2,10 (10),0.0818,0.668,0,,0 (0),1,1,0.0818,0.668
Type III interferon signaling,Wikipathways,2,STAT1;JAK1,10 (10),0.0818,0.668,0,,0 (0),1,1,0.0818,0.668
Ibuprofen Metabolism Pathway,SMPDB,1,PDIA4,23 (23),0.682,1,1,HMDB00295,10 (11),0.134,0.545,0.311,0.672
Platelet degranulation ,Reactome,5,SERPING1;CTSW;HGF;PDGFA;SPARC,129 (129),0.757,1,1,HMDB01201,9 (15),0.122,0.512,0.312,0.672
Class I MHC mediated antigen processing & presentation,Reactome,16,FBXL20;RNF34;ATG7;RCHY1;MRC1;TAP1;HERC4;BTK;NCF2;TRIM39;CTSS;B2M;MKRN1;KLHL25;LY96;ASB13,323 (324),0.504,1,1,HMDB01201,14 (24),0.183,0.686,0.312,0.672
heparan sulfate biosynthesis,HumanCyc,1,NDST1,29 (29),0.764,1,1,HMDB00295,9 (10),0.122,0.512,0.314,0.672
TNFR2 non-canonical NF-kB pathway,Reactome,5,TNFRSF17;TNFSF13B;TNFRSF13C;TNFRSF13B;BIRC2,50 (50),0.094,0.698,0,,2 (3),1,1,0.316,0.672
RHO GTPases Activate Formins,Reactome,2,CLIP1;NDEL1,123 (123),0.984,1,1,HMDB01201,7 (7),0.096,0.441,0.317,0.672
histamine degradation,HumanCyc,1,HNMT,2 (2),0.0948,0.698,0,,12 (13),1,1,0.318,0.672
lipoate salvage,HumanCyc,1,LIPT1,2 (2),0.0948,0.698,0,,4 (6),1,1,0.318,0.672
NAD phosphorylation and dephosphorylation,HumanCyc,1,NADK,2 (2),0.0948,0.698,0,,6 (7),1,1,0.318,0.672
choline degradation,HumanCyc,1,ALDH7A1,2 (2),0.0948,0.698,0,,6 (7),1,1,0.318,0.672
Sterols are 12-hydroxylated by CYP8B1,Reactome,1,PTGIS,2 (2),0.0948,0.698,0,,6 (10),1,1,0.318,0.672
Stimulation of the cell death response by PAK-2p34,Reactome,1,CASP3,2 (2),0.0948,0.698,0,,2 (2),1,1,0.318,0.672
Biosynthesis of DPAn-6 SPMs,Reactome,1,ALOX12,2 (2),0.0948,0.698,0,,3 (6),1,1,0.318,0.672
D-<i>myo</i>-inositol (3_4_5_6)-tetrakisphosphate biosynthesis,HumanCyc,1,IPMK,2 (2),0.0948,0.698,0,,8 (9),1,1,0.318,0.672
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA,HumanCyc,1,DHTKD1,2 (2),0.0948,0.698,0,,11 (12),1,1,0.318,0.672
phytol degradation,HumanCyc,1,ALDH3A2,2 (2),0.0948,0.698,0,,11 (14),1,1,0.318,0.672
Prednisolone Action Pathway,SMPDB,1,NR3C1,2 (2),0.0948,0.698,0,,1 (1),1,1,0.318,0.672
Prednisolone Metabolism Pathway,SMPDB,1,NR3C1,2 (2),0.0948,0.698,0,,1 (1),1,1,0.318,0.672
Biosynthesis of DPAn-3-derived maresins,Reactome,1,ALOX12,2 (2),0.0948,0.698,0,,6 (12),1,1,0.318,0.672
Renin secretion - Homo sapiens (human),KEGG,6,CACNA1S;PPP3CC;PDE1A;PLCB4;EDNRA;ITPR2,65 (65),0.0949,0.698,0,,16 (21),1,1,0.318,0.672
Target Of Rapamycin (TOR) Signaling,Wikipathways,4,RRAGD;PRKCA;PRKAG2;PRR5,36 (36),0.0954,0.698,0,,1 (1),1,1,0.319,0.672
Signaling by RAS mutants,Reactome,4,BRAF;RAP1B;PEBP1;APBB1IP,36 (36),0.0954,0.698,0,,6 (8),1,1,0.319,0.672
Fibrin Complement Receptor 3 Signaling Pathway,Wikipathways,4,CXCL3;LY96;CXCL10;RASSF5,36 (36),0.0954,0.698,0,,1 (2),1,1,0.319,0.672
EPH-Ephrin signaling,Reactome,2,PAK1;ARPC2,74 (74),0.881,1,1,HMDB01201,8 (9),0.109,0.479,0.321,0.672
Signaling by PTK6,Wikipathways,0,,2 (2),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
Cholesterol metabolism - Homo sapiens (human),KEGG,0,,50 (50),1,1,1,HMDB00658#HMDB10370,7 (10),0.096,0.441,0.321,0.672
Intracellular Signalling Through FSH Receptor and Follicle Stimulating Hormone,SMPDB,0,,10 (10),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
phosphatidylcholine biosynthesis pathway,BioCarta,0,,3 (3),1,1,1,HMDB08048#HMDB08036#HMDB08038,7 (8),0.096,0.441,0.321,0.672
tRNA processing in the nucleus,Reactome,0,,57 (57),1,1,1,HMDB01201,7 (10),0.096,0.441,0.321,0.672
guanine and guanosine salvage,HumanCyc,0,,2 (2),1,1,1,HMDB01397,7 (7),0.096,0.441,0.321,0.672
RHO GTPases Activate Formins,Wikipathways,0,,1 (1),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
Adenylate cyclase activating pathway,Reactome,0,,10 (10),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
Corticotropin Activation of Cortisol Production,SMPDB,0,,7 (7),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
L-dopachrome biosynthesis,HumanCyc,0,,1 (1),1,1,1,HMDB00158,7 (8),0.096,0.441,0.321,0.672
Vasopressin Regulation of Water Homeostasis,SMPDB,0,,7 (7),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
Scavenging by Class B Receptors,Reactome,0,,6 (6),1,1,1,HMDB00658#HMDB10370,7 (15),0.096,0.441,0.321,0.672
Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin,SMPDB,0,,10 (10),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
Dopamine Activation of Neurological Reward System,SMPDB,0,,6 (6),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
HIF1A and PPARG regulation of glycolysis,Wikipathways,0,,8 (8),1,1,1,HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218,7 (10),0.096,0.441,0.321,0.672
Intracellular Signalling Through PGD2 receptor and Prostaglandin D2,SMPDB,0,,6 (6),1,1,1,HMDB01201,7 (7),0.096,0.441,0.321,0.672
Ion channel transport,Reactome,13,ATP11B;ATP1B3;CAMK2D;SGK1;CAMK2A;ATP6V1E1;ATP11A;ATP8B2;ATP6V0A1;ATP2C1;ANO10;MCOLN2;ATP9A,179 (179),0.0962,0.698,0,,17 (24),1,1,0.321,0.672
Vitamin A Deficiency,SMPDB,3,ALDH1A1;PDIA4;RDH12,37 (37),0.267,1,1,HMDB08048#HMDB08036#HMDB08038,31 (31),0.362,1,0.322,0.672
Retinol Metabolism,SMPDB,3,ALDH1A1;PDIA4;RDH12,37 (37),0.267,1,1,HMDB08048#HMDB08036#HMDB08038,31 (31),0.362,1,0.322,0.672
Transcriptional regulation by RUNX2,Wikipathways,2,BGLAP;COL1A1,11 (11),0.0969,0.698,0,,7 (8),1,1,0.323,0.672
Hh mutants that don_t undergo autocatalytic processing are degraded by ERAD,Reactome,2,SEL1L;SYVN1,11 (11),0.0969,0.698,0,,4 (4),1,1,0.323,0.672
Signaling by Leptin,Reactome,2,LEPR;IRS2,11 (11),0.0969,0.698,0,,2 (3),1,1,0.323,0.672
Synthesis of PIPs at the late endosome membrane,Reactome,2,PIKFYVE;FIG4,11 (11),0.0969,0.698,0,,9 (12),1,1,0.323,0.672
Hh mutants abrogate ligand secretion,Reactome,2,SEL1L;SYVN1,11 (11),0.0969,0.698,0,,4 (4),1,1,0.323,0.672
Interleukin-6 signaling,Reactome,2,JAK1;STAT1,11 (11),0.0969,0.698,0,,2 (2),1,1,0.323,0.672
NAD metabolism_ sirtuins and aging,Wikipathways,2,FOXO1;NAMPT,11 (11),0.0969,0.698,0,,3 (4),1,1,0.323,0.672
serotonin degradation,HumanCyc,1,ALDH3A2,14 (15),0.502,1,1,HMDB00295,15 (20),0.195,0.719,0.325,0.675
Folate metabolism,INOH,1,PTS,31 (31),0.787,1,2,HMDB01201;HMDB01397,43 (46),0.125,0.524,0.326,0.675
Histidine metabolism - Homo sapiens (human),KEGG,3,ALDH3A2;HNMT;ALDH7A1,23 (23),0.0983,0.698,0,,32 (47),1,1,0.326,0.675
Canonical NF-kappaB pathway,PID,3,BIRC2;PRKCA;CYLD,23 (23),0.0983,0.698,0,,1 (1),1,1,0.326,0.675
Negative regulators of DDX58/IFIH1 signaling,Reactome,3,TRIM25;NLRC5;TAX1BP1,23 (23),0.0983,0.698,0,,2 (2),1,1,0.326,0.675
Regulation of TNFR1 signaling,Reactome,3,BIRC2;CYLD;TAX1BP1,23 (23),0.0983,0.698,0,,2 (2),1,1,0.326,0.675
Nephrin family interactions,Reactome,3,PIK3CA;CASK;CD2AP,23 (23),0.0983,0.698,0,,2 (2),1,1,0.326,0.675
stearate biosynthesis,HumanCyc,1,ACOT7,13 (13),0.477,1,1,HMDB00220,16 (17),0.206,0.755,0.327,0.675
G alpha (z) signalling events,Reactome,2,PRKCA;GNG2,47 (47),0.673,1,1,HMDB01201,11 (12),0.147,0.579,0.327,0.676
Cellular responses to external stimuli,Reactome,18,RRAGD;MDM2;MDM4;ATG7;WDR45;MAPK11;AGO4;CAMK2A;NCF2;CAMK2D;EPAS1;RPS6KA2;RPS6KA3;HMGA2;NR3C1;RB1CC1;PRKAG2;MAP1LC3B,413 (414),0.717,1,2,HMDB01201;HMDB01397,46 (57),0.139,0.563,0.33,0.68
Integrated Breast Cancer Pathway,Wikipathways,6,CASP3;MYCBP2;DHTKD1;BMPR1A;RASGRP3;FOXO1,66 (66),0.1,0.703,0,,9 (20),1,1,0.331,0.683
Class I MHC mediated antigen processing & presentation,Wikipathways,0,,0 (0),1,1,1,HMDB01201,14 (24),0.183,0.686,0.183,0.686
Alanine Aspartate Asparagine metabolism,INOH,0,,25 (25),1,1,2,HMDB00536;HMDB01201,38 (45),0.101,0.465,0.333,0.686
Lamivudine Metabolism Pathway,SMPDB,1,CMPK1,18 (18),0.592,1,1,HMDB00295,13 (13),0.171,0.653,0.333,0.686
